#Source	"The Drug Repurposing Hub, Broad Institute"				
#URL	http://www.broadinstitute.org/repurposing				
#File_date	9/7/2018				
#Table_name	drug information				
#API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
#Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
#Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
#Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
#Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
quetiapine	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR3A|HTR6|HTR7|SLC6A2	neurology/psychiatry	schizophrenia|bipolar disorder
quiflapon	Phase 2	leukotriene synthesis inhibitor	ALOX5|ALOX5AP		
quinagolide	Launched	dopamine receptor agonist	DRD2	endocrinology	hyperprolactinemia
quinapril	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology	hypertension|congestive heart failure|angioedema
quinaprilat	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology	hypertension|angioedema
quinelorane	Phase 3	dopamine receptor agonist	DRD2|DRD3		
quinestrol	Launched	estrogen receptor agonist	ESR1	endocrinology	menopause
quinethazone	Launched	thiazide diuretic	CA1|CA2|SLC12A1|SLC12A2|SLC12A3	cardiology	hypertension
quinidine	Launched	sodium channel blocker	KCNA5|KCNA7|KCNH1|KCNH2|KCNH5|KCNK1|KCNK6|SCN5A|SLC29A4	infectious disease|cardiology	malaria|atrial fibrillation (AF)|ventricular arrhythmias
quinine	Launched	hemozoin biocrystallization inhibitor	GP9|KCNB2|KCNN4|SLC29A4	infectious disease	malaria
quinine-ethyl-carbonate	Launched			infectious disease	malaria
quinolinic-acid	Preclinical	glutamate receptor agonist			
quinpirol-(-)	Phase 2	dopamine receptor agonist	DRD1|DRD2|DRD3|DRD4|HTR1A|HTR2A|HTR2B|HTR2C		
quipazine	Preclinical	serotonin receptor agonist			
quizartinib	Phase 3	FLT3 inhibitor	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET		
QX-222	Preclinical	sodium channel blocker			
QX-314	Preclinical	sodium channel blocker	MAPK14|TGFBR1		
r(-)-apomorphine	Launched	dopamine receptor agonist	DRD2|HTR5A	neurology/psychiatry	Parkinson's Disease
R-1479	Phase 1	HCV inhibitor			
R-1485	Phase 1	serotonin receptor antagonist	HTR6		
R-268712	Preclinical	serine/threonine kinase inhibitor	TGFBR1		
R-428	Phase 1	AXL kinase inhibitor	AXL		
R-59022	Preclinical	diacylglycerol kinase inhibitor|protein kinase inhibitor	DGKA		
R-96544	Preclinical	serotonin receptor antagonist	HTR2A		
rabeprazole	Launched	ATPase inhibitor|gastrin inhibitor	ATP4A	gastroenterology	gastroesophageal reflux disease (GERD)|duodenal ulcer disease|Zollinger-Ellison syndrome
rac-BHFF	Preclinical	GABA receptor positive allosteric modulator	GABBR1		
racecadotril	Launched	enkephalinase inhibitor	MME	gastroenterology	diarrhea
raclopride	Launched	dopamine receptor antagonist	DRD2|DRD3|HTR1A		
ractopamine	Launched	adrenergic receptor agonist			
radafaxine	Phase 2	dopamine-norepinephrine reuptake inhibitor	SLC6A3		
radezolid	Phase 2	bacterial 30S ribosomal subunit inhibitor|bacterial 50S ribosomal subunit inhibitor			
RAF265	Phase 2	RAF inhibitor|VEGFR inhibitor	BRAF		
raloxifene	Launched	estrogen receptor antagonist|selective estrogen receptor modulator (SERM)	ESR1|ESR2	orthopedics|oncology	osteoporosis|breast cancer
raltegravir	Launched	HIV integrase inhibitor		infectious disease	human immunodeficiency virus (HIV-1)
raltitrexed	Launched	thymidylate synthase inhibitor	FPGS|TYMS	oncology	mesothelioma
ramatroban	Launched	prostanoid receptor antagonist	PTGDR2|TBXA2R	cardiology|pulmonary	coronary artery disease (CAD)|asthma
ramelteon	Launched	melatonin receptor agonist	MTNR1A|MTNR1B	neurology/psychiatry	insomnia
ramifenazone	Launched	cyclooxygenase inhibitor		neurology/psychiatry|endocrinology	pain relief|fever
ramipril	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology	hypertension
ramosetron	Launched	serotonin receptor antagonist	HTR3A	gastroenterology	nausea|vomiting|irritable bowel syndrome
ranirestat	Phase 3	aldose reductase inhibitor	AKR1B1		
ranitidine	Launched	histamine receptor antagonist	HRH2	gastroenterology	heartburn
ranolazine	Launched	sodium channel blocker	SCN10A|SCN4A|SCN5A|SCN9A	cardiology	chronic stable angina
rapastinel	Phase 2	glutamate receptor agonist			
rasagiline	Launched	monoamine oxidase inhibitor	BCL2|MAOB	neurology/psychiatry	Parkinson's Disease
rauwolscine	Preclinical	adrenergic receptor antagonist	ADRA2A|ADRA2B|ADRA2C|HTR1B|HTR1D|HTR1E|HTR2B		
ravoxertinib	Phase 1	ERK1 and ERK2 phosphorylation inhibitor	MAPK1|MAPK3		
ravuconazole	Phase 2	sterol demethylase inhibitor			
RBC8	Preclinical	Ral GTPase inhibitor	RALA|RALB		
rebamipide	Launched	free radical scavenger	FPR1	gastroenterology	peptic ulcer disease (PUD)|gastritis
rebastinib	Phase 1	Bcr-Abl kinase inhibitor|TIE tyrosine kinase inhibitor|VEGFR inhibitor	ABL1|BCR|FGR|FLT3|HCK|LYN|SRC		
reboxetine	Launched	adrenergic receptor antagonist	SLC6A2	neurology/psychiatry	depression
Rec-15/2615	Phase 2	adrenergic receptor antagonist	ADRA1A		
refametinib	Phase 2	MEK inhibitor	MAP2K1|MAP2K2		
regadenoson	Launched	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3	radiology	myocardial perfusion imaging (MPI)
regorafenib	Launched	FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor	ABL1|BRAF|DDR2|EPHA2|FGFR1|FGFR2|FLT1|FLT4|FRK|KDR|KIT|MAPK11|NTRK1|PDGFRA|PDGFRB|RAF1|RET|TEK	oncology	colorectal cancer|gastrointestinal stromal tumors (GIST)
relcovaptan	Phase 2	vasopressin receptor antagonist	AVPR1A|AVPR1B|AVPR2|OXTR		
relebactam	Phase 3	beta lactamase inhibitor			
remacemide	Phase 3	glutamate receptor antagonist	GRIN1		
remimazolam	Phase 3	benzodiazepine receptor agonist	GABBR1		
remodelin	Preclinical	transferase inhibitor	NAT10		
remoxipride	Withdrawn	dopamine receptor antagonist	DRD2|DRD3|DRD4|HTR2A|SIGMAR1		
repaglinide	Launched	insulin secretagogue	ABCC8|KCNJ11|PPARG	endocrinology	diabetes mellitus
reparixin	Phase 3	CC chemokine receptor antagonist	CXCR1|CXCR2		
repsox	Preclinical	TGF beta receptor inhibitor	TGFBR1		
resatorvid	Phase 3	toll-like receptor antagonist	TLR4		
reserpine	Launched	vesicular monoamine transporter inhibitor	SLC18A1|SLC18A2	cardiology	hypertension
resibufogenin	Phase 2	Na/K-ATPase inhibitor			
resiquimod	Phase 3	toll-like receptor agonist	TLR7|TLR8		
resminostat	Phase 2	HDAC inhibitor	HDAC1|HDAC3|HDAC6|HDAC8		
resorcinol	Launched	phosphodiesterase inhibitor	CA12|CA14|CA2|PTGS1	dermatology	acne vulgaris (AV)|eczema|psoriasis|seborrheic dermatitis
resorcinol-monoacetate	Launched	antiseptic			
resveratrol	Launched	cytochrome P450 inhibitor|SIRT activator	CSNK2A1|NQO2|PTGS1|PTGS2		
retapamulin	Launched	protein synthesis inhibitor		infectious disease	impetigo
retaspimycin	Phase 3	HSP inhibitor	HSP90AA1		
retigabine	Launched	potassium channel activator	KCNQ1|KCNQ2|KCNQ3|KCNQ4|KCNQ5	neurology/psychiatry	epilepsy
retinaldehyde	Launched			dermatology	cosmetic
retinol	Launched	retinoid receptor ligand	ALDH1A1|ALDH1A2|ALDH1A3|DHRS3|DHRS4|LRAT|NR2C2|RBP1|RBP3|RDH11|RDH12|RDH13|RDH14|RDH5|RDH8|RETSAT|RHO|RLBP1|RXRA|RXRB|RXRG	dermatology	cosmetic|acne vulgaris (AV)|keratosis
retinyl-acetate	Launched				
retinyl-palmitate	Launched				
REV-5901	Phase 2	leukotriene receptor antagonist|lipoxygenase inhibitor	ALOX5		
revaprazan	Launched	potassium-competitive acid antagonist	ATP4A	gastroenterology	gastritis
reversan	Preclinical	MRP inhibitor	ABCC1		
reversine	Preclinical	Aurora kinase inhibitor	AURKB|INCENP|MAP2K1		
RGB-286638	Phase 1	CDK inhibitor	CDK1|CDK2|CDK3|CDK4|CDK5|CDK6|CDK7|CDK9|FLT3|GSK3B|JAK2|MAP3K7|MAPK9		
RGFP966	Preclinical	HDAC inhibitor	HDAC3		
RG108	Preclinical	DNA methyltransferase inhibitor	DNMT1|DNMT3B		
RG1530	Phase 1	FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	FGFR1|FGFR2		
RG2833	Phase 1	HDAC inhibitor	HDAC1|HDAC3		
RG4733	Phase 2	gamma secretase inhibitor	PSEN1		
RG7112	Phase 1	MDM inhibitor	MDM2		
RHC-80267	Preclinical	triacylglycerol lipase inhibitor	DAGLA|DAGLB		
rhein	Phase 1		HSP90AA1		
rheochrysidin	Preclinical	protein tyrosine kinase inhibitor	PTPN1		
rhodamine-123	Phase 1				
RI-1	Preclinical		RAD51		
ribavirin	Launched	antiviral	ADK|ENPP1|IMPDH1|IMPDH2|NT5C2	infectious disease	hepatitis C
ribitol	Preclinical				
ribociclib	Launched	CDK inhibitor	CDK4|CDK6	oncology	breast cancer
riboflavin	Launched	vitamin B2	BLVRB|RFK	gastroenterology	jaundice
riboflavin-5-phosphate-sodium	Launched		BLVRB|DHODH|DPYD|HAO1|HAO2|MT-ND1|NOS1|PNPO|POR|PPCDC|RFK|RPS6KA4|SGK1		
ribostamycin	Launched	bacterial 30S ribosomal subunit inhibitor		infectious disease	human immunodeficiency virus (HIV-1)|human immunodeficiency virus (HIV-1)
ribostamycin-sulfate	Launched	bacterial 30S ribosomal subunit inhibitor	P4HB	infectious disease	gram-negative bacterial infections
ricinoleic-acid	Launched	prostanoid receptor agonist	PTGER3		
rifabutin	Launched	protein synthesis inhibitor	HSP90AA1|HSP90B1	infectious disease	human immunodeficiency virus (HIV-1)
rifampin	Launched	RNA polymerase inhibitor	NR1I2|SLCO1A2|SLCO1B1|SLCO1B3	infectious disease	tuberculosis|meningitis
rifamycin	Launched	DNA directed RNA polymerase inhibitor	SLCO1A2|SLCO1B1|SLCO1B3|SLCO2B1	infectious disease	tuberculosis|leprosy
rifamycin-sv	Phase 3	RNA synthesis inhibitor			
rifapentine	Launched	RNA polymerase inhibitor	CYP2C8|CYP2C9|CYP3A4	infectious disease	tuberculosis
rifaximin	Launched	RNA synthesis inhibitor	NR1I2	gastroenterology	diarrhea|irritable bowel syndrome|hepatic encephalopathy (HE)
rigosertib	Phase 3	cell cycle inhibitor|PLK inhibitor	PLK1		
rilmenidine	Launched	adrenergic receptor agonist|imidazoline receptor agonist	ADRA2A	cardiology	hypertension
rilpivirine	Launched	non-nucleoside reverse transcriptase inhibitor	NR1I2|SCN10A	infectious disease	human immunodeficiency virus (HIV-1)
riluzole	Launched	glutamate inhibitor	KCNK10|KCNK2|KCNK4|KCNN4|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A|SLC7A11	neurology/psychiatry	amyotrophic lateral sclerosis (ALS)
rimantadine	Launched	antiviral|RNA synthesis inhibitor		infectious disease	influenza A virus infection
rimcazole	Phase 1	sigma receptor antagonist	SIGMAR1		
rimexolone	Launched	glucocorticoid receptor agonist	NR3C1|SERPINA6	ophthalmology	anterior uveitis
rimonabant	Withdrawn	cannabinoid receptor antagonist	CNR1|GPR55		
riociguat	Launched	guanylate cyclase stimulant	GUCY1A2|GUCY1A3|GUCY1B2|GUCY1B3	cardiology	hypertension
riodipine	Phase 2	calcium channel blocker			
riodoxol	Launched	other antibiotic			
ripasudil	Launched	rho associated kinase inhibitor	ROCK1|ROCK2	ophthalmology	glaucoma|ocular hypertension
ripazepam	Phase 2	benzodiazepine receptor agonist	GABRA1		
risedronate	Launched	osteoclast inhibitor	FDPS	orthopedics|endocrinology	osteoporosis|Paget's disease
risperidone	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR6|HTR7	neurology/psychiatry	schizophrenia|bipolar disorder|irritability
RITA	Preclinical	MDM inhibitor	MDM2		
ritanserin	Phase 3	serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR6|HTR7		
ritodrine	Launched	adrenergic receptor agonist	ADRB2	obstetrics/gynecology	premature labor
ritonavir	Launched	HIV protease inhibitor	CYP1A2|CYP2B6|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP3A4|CYP3A5|CYP3A7	infectious disease	human immunodeficiency virus (HIV-1)
rivanicline	Phase 2	acetylcholine receptor agonist	CHRNA4|CHRNB2|CXCL8		
rivaroxaban	Launched	coagulation factor inhibitor	F10	neurology/psychiatry|hematology|cardiology	stroke|systemic embolism|atrial fibrillation (AF)|deep vein thrombosis (DVT)|pulmonary embolism (PE)
rivastigmine	Launched	acetylcholinesterase inhibitor	ACHE|BCHE	neurology/psychiatry	Alzheimer's disease|Parkinson's Disease|senile dementia
rizatriptan	Launched	serotonin receptor agonist	HTR1A|HTR1B|HTR1D|HTR1E|HTR1F	neurology/psychiatry	migraine headache
RKI-1447	Preclinical	rho associated kinase inhibitor	CDC42BPA|DMPK|LIMK1|MYLK|PAK1|PKN1|ROCK1|ROCK2		
RLX	Preclinical				
RN-1	Preclinical	histone demethylase inhibitor	KDM1A		
RN-1734	Preclinical	TRPV antagonist	TRPV4		
RN-1747	Preclinical	TRPV agonist	TRPV4		
Ro-04-5595	Preclinical		GRIN2B		
Ro-08-2750	Preclinical		NGF		
Ro-10-5824	Preclinical	dopamine receptor agonist	DRD4		
Ro-106-9920	Preclinical	NFkB pathway inhibitor			
Ro-1138452	Preclinical	prostanoid receptor antagonist	PTGIR		
Ro-15-4513	Preclinical		GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB2|GABRG2		
Ro-19-4605	Preclinical		GABRA1|GABRA2|GABRA3|GABRA5		
Ro-20-1724	Preclinical	phosphodiesterase inhibitor	PDE3A|PDE4A|PDE4B|PDE4C|PDE4D		
Ro-25-6981	Preclinical		GRIN2B		
Ro-28-1675	Preclinical	glucokinase activator	GCK		
RO-3	Preclinical	purinergic receptor antagonist	P2RX3		
Ro-3306	Preclinical	CDK inhibitor	CDK1		
Ro-48-8071	Preclinical	oxidosqualene cyclase inhibitor	LSS		
Ro-4987655	Phase 1	MEK inhibitor	MAP2K1		
Ro-5126766	Phase 1	RAF inhibitor|MEK inhibitor	BRAF|MAP2K1|MAP2K2|RAF1		
Ro-60-0175	Preclinical		HTR2A|HTR2B|HTR2C		
Ro-61-8048	Preclinical	kynurenine 3-monooxygenase inhibitor	KMO		
Ro-67-7476	Preclinical	glutamate receptor positive allosteric modulator	GRM1		
Ro-90-7501	Preclinical		APP		
Ro-9187	Preclinical	HCV inhibitor			
robalzotan	Phase 2	serotonin receptor antagonist	HTR1A		
rociletinib	Phase 3	EGFR inhibitor	EGFR		
rocuronium	Launched	acetylcholine receptor antagonist	CHRM2|CHRNA2|HTR3A	neurology/psychiatry	anesthetic
rofecoxib	Withdrawn	cyclooxygenase inhibitor	ELN|PTGS2		
roflumilast	Launched	phosphodiesterase inhibitor	PDE4A|PDE4B|PDE4C|PDE4D	pulmonary	chronic obstructive pulmonary disease (COPD)|bronchitis
rolipram	Phase 3	phosphodiesterase inhibitor			
rolipram-R(-)	Preclinical	phosphodiesterase inhibitor	PDE4A|PDE4B|PDE4C|PDE4D|PDE5A		
rolipram-S(+)	Preclinical	phosphodiesterase inhibitor			
rolitetracycline	Launched	bacterial 30S ribosomal subunit inhibitor			
rolziracetam	Phase 2				
romidepsin	Launched	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	hematologic malignancy	cutaneous T-cell lymphoma (CTCL)
ronidazole	Launched	antiprotozoal agent		infectious disease	histomoniasis|dysentry
ropinirole	Launched	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C	neurology/psychiatry	Parkinson's Disease|restless leg syndrome
ropivacaine	Launched	sodium channel blocker	SCN10A	neurology/psychiatry	anesthetic
roquinimex	Phase 3	angiogenesis inhibitor|tumor necrosis factor production inhibitor			
rosamicin	Phase 2	protein synthesis inhibitor			
roscovitine	Phase 2	CDK inhibitor	CDK2|CDK9		
rose-bengal	Launched	contrast agent		radiology	diagnostic agent
rose-bengal-lactone	Launched	coloring agent		ophthalmology	staining agent
rosiglitazone	Withdrawn	insulin sensitizer|PPAR receptor agonist	ACSL4|FFAR1|PPARG|TRPC5|TRPM3		
rosmarinic-acid	Launched	GABA transaminase inhibitor	MCL1|TYR		
rosoxacin	Launched	topoisomerase inhibitor		infectious disease	urinary tract infections
rostafuroxine	Phase 2	ATPase inhibitor	ATP1A1		
rosuvastatin	Launched	HMGCR inhibitor	HMGCR	endocrinology|cardiology	hyperlipidemia|dyslipidemia|hypertriglyceridemia|hypercholesterolemia|atherosclerosis
rotigotine	Launched	dopamine receptor agonist	ADRA2B|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A	neurology/psychiatry	Parkinson's Disease|restless leg syndrome
rotundine	Launched	serotonin receptor agonist	DRD1|DRD2|DRD3|HTR1A		
roxarsone	Launched	antiprotozoal agent		endocrinology	weight-gain aid
roxatidine-acetate	Launched	histamine receptor antagonist	HRH2	gastroenterology	Zollinger-Ellison syndrome|erosive esophagitis (EE)|gastroesophageal reflux disease (GERD)|gastritis
roxithromycin	Launched	bacterial 50S ribosomal subunit inhibitor	ABCB1|MLNR	infectious disease	respiratory tract infections|urinary tract infections|skin infections
RP-001	Preclinical	sphingosine 1 phosphate receptor agonist	S1PR1		
RP67580	Preclinical				
RQ-00203078	Preclinical	transient receptor potential channel antagonist	TRPM8		
RRx-001	Phase 2	glucose 6-phosphate dehydrogenase inhibitor	G6PD		
RS-0481	Phase 2	immunostimulant			
RS-100329	Preclinical	adrenergic receptor antagonist	ADRA1A|ADRA1D		
RS-102221	Preclinical	serotonin receptor antagonist	HTR2A|HTR2B|HTR2C		
RS-102895	Preclinical	CCR antagonist	CCR2		
RS-127445	Phase 1	serotonin receptor antagonist	HTR2A|HTR2B|HTR2C		
RS-16566	Preclinical	serotonin receptor antagonist			
RS-17053	Preclinical	adrenergic receptor antagonist	ADRA1A|ADRA1D		
RS-23597-190	Preclinical	serotonin receptor antagonist	HTR4		
RS-39604	Preclinical	serotonin receptor antagonist	HTR4		
RS-45041-190	Preclinical	imidazoline receptor agonist			
RS-504393	Preclinical	CC chemokine receptor antagonist	CCL2|CCR2		
RS-56812	Preclinical	serotonin receptor partial agonist	HTR3A		
RS-67333	Preclinical	serotonin receptor partial agonist	HTR4		
RS-67506	Preclinical	serotonin receptor partial agonist	HTR4		
RS-79948	Preclinical	adrenergic receptor antagonist	ADRA2A		
RSV604	Phase 2	RSV replication inhibitor			
RTA-408	Phase 2	nitric oxide production inhibitor	NFE2L2		
RU-SKI-43	Preclinical	hedgehog pathway inhibitor	HHAT		
RU-24969	Phase 1	serotonin receptor agonist	HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR6		
RU-28318	Phase 2	cytochrome P450 inhibitor	NR3C2		
RU-42173	Phase 2	adrenergic receptor agonist	ADRB2		
RU-58841	Phase 2	androgen receptor antagonist	AR		
rubitecan	Phase 3	topoisomerase inhibitor	TOP1		
rucaparib	Phase 3	PARP inhibitor	PARP1|PARP2		
rucinol	Phase 1	tyrosinase inhibitor	TYR		
rufinamide	Launched	voltage-gated sodium channel blocker	GRM5|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	neurology/psychiatry	seizures
rufloxacin	Launched	bacterial DNA gyrase inhibitor		infectious disease	gram-negative bacterial infections
rupatadine	Launched	histamine receptor antagonist|platelet activating factor receptor antagonist	HRH1|PTAFR	allergy	allergic rhinitis|urticaria
rutaecarpine	Preclinical	cyclooxygenase inhibitor	PTGS2		
rutin	Launched	antioxidant|capillary stabilizing agent|nitric oxide scavenger	AKR1C3	rheumatology|otolaryngology|gastroenterology|neurology/psychiatry|allergy	joint pain|nasal congestion|constipation|irritability|allergic rhinitis
ruxolitinib	Launched	JAK inhibitor	JAK1|JAK2|JAK3|TYK2	hematologic malignancy|hematology	myelofibrosis|polycythemia vera
ruxolitinib-(S)	Preclinical	JAK inhibitor	JAK1|JAK2		
RWJ-21757	Phase 1	toll-like receptor agonist	TLR7		
RWJ-50271	Preclinical	integrin inhibitor	ICAM1		
RWJ-67657	Phase 1	MAP kinase inhibitor	MAPK14|PTGS2		
RX-3117	Phase 1/Phase 2	DNA synthesis inhibitor|CDK inhibitor	CDK2|DNMT1		
RX-821002	Preclinical	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C		
ryuvidine	Preclinical	histone lysine methyltransferase inhibitor	CDK2|CDK4		
R112	Preclinical	syk inhibitor	SYK		
R306465	Phase 1	HDAC inhibitor			
R406	Phase 1	SYK inhibitor	RET|SYK		
R547	Phase 1	CDK inhibitor	CDK1|CDK2|CDK4|CDK7		
S-Isopropylisothiourea	Preclinical	nitric oxide synthase inhibitor	NOS3		
S-methylcysteine	Phase 1		CTSD|MGMT		
S-Nitrosoglutathione	Phase 1	nitric oxide stimulant	PTPN1		
S-Sulfo-L-cysteine-sodium-salt	Preclinical	glutamate receptor agonist			
S-Trityl-L-cysteine	Preclinical	mitotic kinesin inhibitor			
S-07662	Preclinical	CAR antagonist	NR1I3		
S-111	Phase 2	PARP inhibitor	PARP1		
S-14506	Preclinical	serotonin receptor agonist	HTR1A		
SA-47	Preclinical	FAAH inhibitor	FAAH		
saccharin	Launched	DNA polymerase inhibitor	CA1|CA12|CA2|CA9		
saclofen	Preclinical	GABA receptor antagonist	GABBR1|GABBR2|KCTD12|KCTD16|KCTD8		
sacubitril	Launched	neprilysin inhibitor	MME	cardiology	congestive heart failure
safflower-yellow	Preclinical	anti-inflammatory agent			
safinamide	Launched	dopamine uptake inhibitor|glutamate inhibitor|monoamine oxidase inhibitor	MAOB	neurology/psychiatry	Parkinson's Disease
safingol	Phase 1	PKC inhibitor	TRPM3		
safranal	Phase 2	benzodiazepine receptor agonist	GABBR1		
SAG	Preclinical	smoothened receptor agonist	SMO|TRPC6		
salazodine	Phase 2				
salicin	Phase 1	anti-inflammatory agent			
salicyl-alcohol	Preclinical				
salicylamide	Launched	analgesic agent		neurology/psychiatry|endocrinology	pain relief|fever
salicylanilide	Preclinical	other antibiotic			
salicylic-acid	Launched	cyclooxygenase inhibitor	AKR1C1|PTGS1|PTGS2	dermatology	acne vulgaris (AV)
salidroside	Preclinical	beta amyloid protein neurotoxicity inhibitor	APP		
salinomycin	Launched			infectious disease	coccidiosis
salirasib	Phase 2	mTOR inhibitor	TRPA1		
salmeterol	Launched	adrenergic receptor agonist	ADRB2	pulmonary	asthma|chronic obstructive pulmonary disease (COPD)|bronchospasm
salsolinol-1-carboxylic-acid	Preclinical				
salubrinal	Preclinical	eukaryotic translation initiation factor inhibitor	EIF2S1		
salvianolic-acid-B	Phase 2	metalloproteinase inhibitor|EGFR inhibitor	MMP9		
salvinorin-a	Phase 1	opioid receptor agonist	OPRD1|OPRK1|OPRM1		
sal003	Preclinical	eukaryotic translation initiation factor inhibitor	EIF2A		
sanazole	Phase 1				
sangivamycin	Phase 1	DNA inhibitor			
sanguinarium-chloride	Phase 1	apoptosis stimulant	CASP3		
SANT-1	Preclinical	smoothened receptor antagonist	SHH|SMO		
SANT-2	Preclinical	smoothened receptor antagonist	SHH|SMO		
sapropterin	Launched	phenylalanine 4-hydroxylase stimulant	NOS3|PAH|TH|TPH1	metabolism	hyperphenylalaninemia (HPA)
